N00026631,Jeff_Fortenberry
N00026686,Al_Green
N00026710,Kenny_Marchant
N00026790,Emanuel_Cleaver
N00026823,John_Kennedy
N00026885,Dave_Reichert
N00026914,Gwen_Moore
N00026926,Jerry_McNerney
N00026961,Yvette_D_Clarke
N00027035,G_K_Butterfield
N00027060,Brian_M_Higgins
N00027229,Michael_G_Fitzpatrick
N00027239,Daniel_Lipinski
N00027441,Bob_Corker
N00027459,Doris_O_Matsui
N00027462,Gus_Bilirakis
N00027464,Bruce_Braley
N00027467,Tim_Walz
N00027493,Michele_Bachmann
N00027500,Amy_Klobuchar
N00027503,Bob_Casey
N00027509,Scott_Tipton
N00027510,Ed_Perlmutter
N00027514,Kathy_Castor
N00027522,Dean_Heller
N00027523,Albio_Sires
N00027533,Sheldon_Whitehouse
N00027565,John_Campbell
N00027566,Christopher_S_Murphy
N00027605,Jon_Tester
N00027623,Adrian_Smith
N00027626,Vernon_Buchanan
N00027649,Tim_Huelskamp
N00027658,Kirsten_Gillibrand
N00027694,Claire_McCaskill
N00027741,David_Loebsack
N00027751,John_Sarbanes
N00027783,Ralph_Norman
N00027848,Hank_Johnson
N00027860,Tammy_Duckworth
N00027891,Dan_Maffei
N00027894,Jim_Jordan
N00028073,John_A_Yarmuth
N00028091,Carol_Shea-Porter
N00028133,Douglas_L_Lamborn
N00028138,Brian_Schatz
N00028139,Mazie_K_Hirono
N00028152,Kevin_McCarthy
N00028249,Donna_Edwards
N00028257,Keith_Ellison
N00028463,Phil_Roe
N00028958,Jason_Chaffetz
N00028986,Paul_Broun
N00029016,Al_Franken
N00029018,Tom_Rooney
N00029026,Niki_Tsongas
N00029070,Jim_Himes
N00029077,Lynn_Jenkins
N00029127,Jared_Polis
N00029139,Bill_Foster
N00029147,Andy_Harris
N00029168,Pedro_Pierluisi
N00029258,Duncan_D_Hunter
N00029260,Ann_Kirkpatrick
N00029273,Aaron_Schock
N00029277,Gary_Peters
N00029285,Pete_Olson
N00029303,Jeff_Merkley
N00029391,Erik_Paulsen
N00029400,Michelle_Lujan_Grisham
N00029404,Lee_Zeldin
N00029441,James_E_Risch
N00029444,Mike_Johanns
N00029459,Rob_Wittman
N00029513,Andre_Carson
N00029562,Ben_R_Lujan
N00029574,Steve_Stivers
N00029617,Kay_R_Hagan
N00029632,Gregg_Harper
N00029649,Jackie_Speier
N00029662,Bill_Posey
N00029675,Brett_Guthrie
N00029679,John_Fleming
N00029736,Glenn_Thompson
N00029788,Cynthia_Lummis
N00029835,Martin_Heinrich
N00029891,Gerry_Connolly
N00029901,Mark_Begich
N00029908,Joe_Garcia
N00030026,Blaine_Luetkemeyer
N00030071,Kurt_Schrader
N00030184,Cedric_Richmond
N00030191,Dina_Titus
N00030196,Paul_Tonko
N00030197,Richard_Hanna
N00030245,Bill_Cassidy
N00030418,Gregorio_Sablan
N00030490,Marcia_L_Fudge
N00030581,Mike_Quigley
N00030600,Judy_Chu
N00030602,Roger_Williams
N00030608,Michael_F_Bennet
N00030612,Marco_Rubio
N00030622,Terri_A_Sewell
N00030642,Al_Lawson
N00030645,Dennis_Ross
N00030650,Frederica_Wilson
N00030667,Adam_Kinzinger
N00030670,Todd_Young
N00030673,Bill_Huizenga
N00030676,Billy_Long
